,title,cast,crew,genres,keywords
1279,A Thousand Words,"['EddieMurphy', 'AllisonJanney', 'CliffCurtis']",['BrianRobbins'],"['Drama', 'Comedy']","['liar', 'literaryagent']"
1280,Delgo,"['FreddiePrinzeJr.', 'JenniferLoveHewitt', 'ValKilmer']",['MarcF.Adler'],"['Adventure', 'Fantasy', 'Animation', 'Comedy', 'ScienceFiction', 'Family']",[]
1281,The Gunman,"['SeanPenn', 'JasmineTrinca', 'JavierBardem']",['PierreMorel'],"['Action', 'Drama', 'Crime']","['assassin', 'hitman']"
1282,Stormbreaker,"['AlexPettyfer', 'SarahBolger', 'EwanMcGregor']",['GeoffreySax'],"['Adventure', 'Action', 'Family']","['england', 'secretintelligenceservice', 'childhero', 'wretch', 'teenspy', 'basedonyoungadultnovel']"
1283,Disturbia,"['ShiaLaBeouf', 'SarahRoemer', 'Carrie-AnneMoss']",['D.J.Caruso'],"['Thriller', 'Drama', 'Mystery']","['kidnapping', 'youngpeople']"
1284,Hackers,"['JonnyLeeMiller', 'AngelinaJolie', 'JesseBradford']",['IainSoftley'],"['Action', 'Crime', 'Thriller', 'Drama']","['femalenudity', 'hacker', 'nudity', 'computervirus', 'virtualreality', 'computer', 'sexualfantasy', 'prank', 'internet', 'cyberpunk', 'teenager', 'newyorkcity', 'secretservice', 'computerhacker', 'dreamsequence']"
1285,The Hunting Party,"['RichardGere', 'TerrenceHoward', 'JamesBrolin']",['RichardShepard'],"['Action', 'Adventure', 'Thriller', 'Drama']","['civilwar', 'spy', 'hotel', 'journalist', 'journalism', 'warcrimes', 'hiddencamera', 'warvictim', 'warcorrespondent', 'war', 'balkanwar', 'serbia']"
1286,The Hudsucker Proxy,"['TimRobbins', 'JenniferJasonLeigh', 'PaulNewman']",['JoelCoen'],"['Comedy', 'Drama']","['suicide', 'newyork', 'corruption', 'journalist', 'inventor', 'undercover', 'toy', 'plan', 'boss', 'investigation', 'company', 'industry', 'party', 'money', 'board', 'stocks']"
1287,The Warlords,"['JetLi', 'AndyLau', 'TakeshiKaneshiro']",['PeterChan'],"['Action', 'Drama', 'History']","['assassin', 'general', 'dynasty', 'brother', 'bloodbrother']"
1288,Nomad: The Warrior,"['KunoBecker', 'JayHernandez', 'JasonScottLee']",['SergeiBodrovJr.'],"['Action', 'History', 'War']",[]
1289,Snowpiercer,"['ChrisEvans', 'SongKang-ho', 'EdHarris']",['BongJoon-ho'],"['Action', 'ScienceFiction', 'Drama']","['fathersonrelationship', 'childlabour', 'brothel', 'winter', 'allegory', 'bridge', 'post-apocalyptic', 'dystopia', 'hijackingoftrain', 'basedoncomicbook', 'dam', 'rifle', 'pregnant', 'train', 'violence', 'basedongraphicnovel', 'guilt', 'revolt', 'duplicity', 'tunnel', 'socialclass', 'populationcontrol', 'perpetualwinter', 'cityruin']"
1290,A Monster in Paris,"['VanessaParadis', 'MathieuChedid', 'GadElmaleh']",['BiboBergeron'],"['Adventure', 'Animation', 'Comedy', 'Family', 'Fantasy']","['monster', 'cgi', '3d', 'parisfrance']"
1291,The Last Shot,"['MatthewBroderick', 'AlecBaldwin', 'ToniCollette']",['JeffNathanson'],"['Action', 'Comedy']",[]
1292,The Crow,"['BrandonLee', 'RochelleDavis', 'ErnieHudson']",['AlexProyas'],"['Fantasy', 'Action', 'Thriller']","['halloween', 'arson', 'detroit']"
1293,Baahubali: The Beginning,"['Prabhas', 'RanaDaggubati', 'TamannaBhatia']",['S.S.Rajamouli'],"['Action', 'Adventure', 'War', 'History']","['kingdom', 'war', 'bollywood', 'medievalindia', 'ancientindia']"
1294,The Time Traveler's Wife,"['EricBana', 'RachelMcAdams', 'MichelleNolden']",['RobertSchwentke'],"['Drama', 'Romance', 'Fantasy']","['chicago', 'sex', 'basedonnovel', 'nudity', 'diary', 'future', 'time', 'timetravel', 'marriage', 'love', 'romance', 'travel', 'tragiclove', 'relationship', 'timetraveler', 'complication']"
1295,Because I Said So,"['DianeKeaton', 'MandyMoore', 'GabrielMacht']",['MichaelLehmann'],['Comedy'],"['mother', 'guitar', 'sistersisterrelationship', 'profession', 'newlove', 'architect', 'motherrole', 'lonelyheartsad', 'men', 'clothing', 'single', 'motherdaughterrelationship', 'losangeles', 'fashion', 'singlefather']"
1296,Frankenweenie,"['CharlieTahan', ""CatherineO'Hara"", 'MartinShort']",['TimBurton'],"['Animation', 'Comedy', 'Family']","['shyness', 'stopmotion', 'blackandwhite', 'retro', 'dog', 'animaldeath', 'animallover']"
1297,Serenity,"['NathanFillion', 'GinaTorres', 'AlanTudyk']",['JossWhedon'],"['ScienceFiction', 'Action', 'Adventure', 'Thriller']","['martialarts', 'telepathy', 'dystopia', 'spaceship', 'fugitive', 'basedontvseries', 'planet', 'throatslitting', 'cannibal', 'reavers', 'operative', 'exsoldier', 'firefly']"
1298,Against the Ropes,"['MegRyan', 'TonyShalhoub', 'JoeCortese']",['CharlesS.Dutton'],"['Romance', 'Drama']","['biography', 'sport']"
1299,Superman III,"['ChristopherReeve', 'RichardPryor', 'JackieCooper']",['RichardLester'],"['Comedy', 'Action', 'Adventure', 'Fantasy', 'ScienceFiction']","['savingtheworld', 'dccomics', 'supercomputer', 'identitycrisis', 'lossofpowers', 'sequel', 'superhero', 'basedoncomicbook', 'hacking', 'superpowers', 'superhumanstrength']"
1300,Grudge Match,"['RobertDeNiro', 'SylvesterStallone', 'AlanArkin']",['PeterSegal'],['Comedy'],"['fathersonrelationship', 'sport', 'rivalry', 'elderly', 'elderlyman']"
1301,Red Cliff,"['ChangChen', 'HuJun', 'TonyLeungChiu-Wai']",['JohnWoo'],"['Adventure', 'Drama', 'Action']","['flamingarrow', 'chinesehistory', 'strategy', 'carrierpigeon', 'spearthrowing', 'walloffire', 'whitedove', 'casualtyofwar', 'arrowinback', 'chinesetradition', 'chinesepainting', 'brokenarrow']"
1302,Sweet Home Alabama,"['ReeseWitherspoon', 'JoshLucas', 'PatrickDempsey']",['AndyTennant'],"['Comedy', 'Romance']","['newyork', 'marriageproposal', 'alabama', 'careerwoman', 'fashiondesigner']"
1303,The Ugly Truth,"['KatherineHeigl', 'GerardButler', 'EricWinter']",['RobertLuketic'],"['Comedy', 'Romance']","['romanticcomedy', 'romance', 'tvmorningshow', 'relationship', 'oppositesattract']"
1304,Sgt. Bilko,"['SteveMartin', 'DanAykroyd', 'PhilHartman']",['JonathanLynn'],"['Comedy', 'Family']","['gulfwar', 'u.s.army', 'basedontvseries', 'militaryspoof']"
1305,Spy Kids 2: The Island of Lost Dreams,"['AntonioBanderas', 'CarlaGugino', 'AlexaPenaVega']",['RobertRodriguez'],"['Action', 'Adventure', 'Family']","['spy', 'experiment', 'island', 'secretorganization', 'wretch', 'weapon', 'rivalry', 'scientist']"
1306,Star Trek: Generations,"['PatrickStewart', 'JonathanFrakes', 'BrentSpiner']",['DavidCarson'],"['ScienceFiction', 'Action', 'Adventure', 'Thriller']","['basedontvseries', 'death', 'explodingplanet', 'mountaincabin', 'solarsystem']"
1307,The Grandmaster,"['TonyLeungChiu-Wai', 'ZhangZiyi', 'SongHye-kyo']",['WongKar-wai'],"['Action', 'Drama', 'History']","['martialarts', 'kungfu', 'biography', 'kungfumaster']"
1308,Water for Elephants,"['RobertPattinson', 'ReeseWitherspoon', 'ChristophWaltz']",['FrancisLawrence'],"['Drama', 'Romance']","['clown', 'elephanttrainer', 'veterinary']"
1309,Dragon Nest: Warriors' Dawn,"['Carrie-AnneMoss', 'LucasGrabeel', 'BlytheAuffarth']",['YuefengSong'],"['Adventure', 'Family', 'Fantasy', 'Animation']",[]
1310,The Hurricane,"['DenzelWashington', 'VicellousReonShannon', 'DeborahKaraUnger']",['NormanJewison'],['Drama'],"['prison', 'boxer', 'boxingmatch', 'boxingschool', 'biography']"
1311,Enough,"['JenniferLopez', 'BillyCampbell', 'JulietteLewis']",['MichaelApted'],"['Drama', 'Thriller']","['waitress', 'wifehusbandrelationship', 'violenthusband', 'self-defense', 'violenceagainstwomen', 'suspense', 'marryrich', 'abusivehusband']"
1312,Heartbreakers,"['SigourneyWeaver', 'JenniferLoveHewitt', 'GeneHackman']",['DavidMirkin'],"['Crime', 'Comedy', 'Romance']",['consandscams']
1313,Paul Blart: Mall Cop 2,"['KevinJames', 'RainiRodriguez', 'EduardoVerástegui']",['AndyFickman'],"['Action', 'Comedy', 'Family']","['shoppingmall', 'lasvegas', 'securityguard']"
1314,Angel Eyes,"['JenniferLopez', 'JimCaviezel', 'JeremySisto']",['LuisMandoki'],"['Drama', 'Romance', 'Thriller']","['carcrash', 'policeofficer']"
1315,Joe Somebody,"['TimAllen', 'JulieBowen', 'KellyLynch']",['JohnPasquin'],['Comedy'],"['profession', 'karate', 'daughter', 'beförderung', 'ex-wife', 'parking', 'slap']"
1316,The Ninth Gate,"['JohnnyDepp', 'FrankLangella', 'LenaOlin']",['RomanPolanski'],"['Horror', 'Mystery', 'Thriller']","['newyork', 'obsession', 'passionforcollection', 'southernfrance', 'mephisto', 'antiquary', 'book', 'picturepuzzle', 'castle', 'satanism', 'millionaire']"
1317,Extreme Measures,"['HughGrant', 'GeneHackman', 'SarahJessicaParker']",['MichaelApted'],"['Drama', 'Thriller']","['newyork', 'surgeon', 'british', 'suspense', 'morgue', 'hospital', 'medical', 'doctor', 'medicalresearch', 'emergencyroom', 'missingbody']"
1318,Rock Star,"['MarkWahlberg', 'JenniferAniston', 'JasonFlemyng']",['StephenHerek'],"['Music', 'Drama', 'Comedy']","['rockstar', 'success', 'discontentednessanddispleasedness', 'heavymetal', 'relationshipproblems']"
1319,Precious,"['GaboureySidibe', ""Mo'Nique"", 'PaulaPatton']",['LeeDaniels'],['Drama'],"['aids', 'illiteracy', 'song', 'unwillinglypregnant', 'balloon', 'school', 'crying', 'motorcycle']"
1320,White Squall,"['JeffBridges', 'CarolineGoodall', 'JohnSavage']",['RidleyScott'],"['Action', 'Drama']","['sailingtrip', 'diary', 'sailing', 'survival', 'comingofage', 'teenageboy', 'discipline', 'squall', 'sail', 'shipcaptain', 'caribbean', 'malebonding', 'seasickness', 'stormatsea', '1960s']"
1321,The Thing,"['KurtRussell', 'KeithDavid', 'WilfordBrimley']",['JohnCarpenter'],"['Horror', 'Mystery', 'ScienceFiction']","['ice', 'spacemarine', 'paranoia', 'snowstorm', 'norwegian', 'researchstation', 'remake', 'alien', 'antarctica', 'shapeshiftingalien', 'sleddogs']"
1322,Riddick,"['VinDiesel', 'KarlUrban', 'KateeSackhoff']",['DavidTwohy'],"['ScienceFiction', 'Action', 'Thriller']","['dystopia', 'revenge', 'alien', 'planet', 'imax']"
1323,Switchback,"['DennisQuaid', 'DannyGlover', 'R.LeeErmey']",['JebStuart'],"['Action', 'Adventure', 'Mystery', 'Thriller']","['lossofson', 'serialkiller', 'train']"
1324,Texas Rangers,"['JamesVanDerBeek', 'RachaelLeighCook', 'AshtonKutcher']",['SteveMiner'],"['Action', 'Western']","['underwear', 'tiger', 'racialsegregation']"
1325,City of Ember,"['SaoirseRonan', 'HarryTreadaway', 'MaryKayPlace']",['GilKenan'],"['Adventure', 'Family', 'Fantasy']","['undergroundworld', 'mayor', 'adventure', 'post-apocalyptic', 'dystopia', 'puzzle', 'box', 'pipeworks']"
1326,The Master,"['JoaquinPhoenix', 'PhilipSeymourHoffman', 'AmyAdams']",['PaulThomasAnderson'],['Drama'],"['posttraumaticstressdisorder', 'sexualobsession', 'postwarperiod', 'drifter', 'alcoholic', 'cultleader', 'scientology', 'religiouscult', 'charismaticleader', 'righthandman']"
1327,Virgin Territory,"['RyanCartwright', 'HaydenChristensen', 'MischaBarton']",['DavidLeland'],"['Adventure', 'Action', 'Comedy', 'Romance']",[]
1328,The Express,"['RobBrown', 'DennisQuaid', 'DarrinHenson']",['GaryFleder'],['Drama'],"['americanfootball', 'college', 'biography', 'sport', 'syracuseuniversity']"
1329,The 5th Wave,"['ChloëGraceMoretz', 'NickRobinson', 'AlexRoe']",['JBlakeson'],"['Adventure', 'ScienceFiction']","['basedonnovel', 'dystopia', 'alien', 'alieninvasion', 'humansubjugation', 'environmentaldisaster', 'basedonyoungadultnovel']"
1330,Creed,"['MichaelB.Jordan', 'SylvesterStallone', 'GrahamMcTavish']",['RyanCoogler'],['Drama'],"['underdog', 'sport', 'spinoff', 'undergroundfighting', 'motivationalspeaker', 'boxing']"
1331,The Town,"['BenAffleck', 'RebeccaHall', 'JeremyRenner']",['BenAffleck'],"['Crime', 'Drama', 'Thriller']","['basedonnovel', 'moneylaundering', 'ambulance', 'boston', 'massachusetts', 'bankmanager', 'drugdealer', 'florist', 'flowershop', 'hold-uprobbery', 'volunteer', 'stolenmoney', 'friends', 'carsetonfire', 'bostongarden', 'policechase', 'bestfriend', 'fenwaypark']"
1332,What to Expect When You're Expecting,"['CameronDiaz', 'JenniferLopez', 'ElizabethBanks']",['KirkJones'],"['Romance', 'Comedy', 'Drama']","['basedonnovel', 'adoption', 'pregnant', 'miscarriage', 'expectantfather', 'pregnantwife', 'vomiting', 'expectingtwins', 'openaircinema', 'givingbirth']"
1333,Burn After Reading,"['GeorgeClooney', 'FrancesMcDormand', 'BradPitt']",['JoelCoen'],"['Comedy', 'Drama']","['blackmail', 'paranoia', 'fitness-training', 'plasticsurgery', 'autobiography', 'memory', 'corpse', 'divorce', 'gym', 'disc', 'expriest']"
1334,Nim's Island,"['AbigailBreslin', 'JodieFoster', 'GerardButler']",['JenniferFlackett'],"['Adventure', 'Comedy', 'Family', 'Fantasy']","['fictionalplace', 'exoticisland', 'shipwreck', 'cruise', 'volcano', 'e-mail', 'liana', 'daughter', 'turtle', 'author', 'talkinganimal', 'pirate', 'womandirector', 'iguana', 'sealion']"
1335,Rush,"['DanielBrühl', 'ChrisHemsworth', 'OliviaWilde']",['RonHoward'],"['Drama', 'Action']","['worldchampion', 'sport', 'racingcar', 'formula1', 'automobileracing', 'basedontrueevents']"
1336,Magnolia,"['JulianneMoore', 'WilliamH.Macy', 'JohnC.Reilly']",['PaulThomasAnderson'],['Drama'],"['farewell', 'regret', 'parentskidsrelationship', 'suicideattempt', 'becominganadult', 'lossoffather', 'dyinganddeath', 'chance', 'childprodigy', 'daughter', 'unsociability', 'reconciliation']"
1337,Cop Out,"['BruceWillis', 'TracyMorgan', 'JuanCarlosHernández']",['KevinSmith'],"['Action', 'Comedy', 'Crime']","['newyork', 'moneylaundering', 'daughter', 'police', 'undercovercop', 'lockedintrunkofcar', 'baseballcard', 'wedding', 'policeofficer', 'duringcreditsstinger']"
1338,How to Be Single,"['DakotaJohnson', 'RebelWilson', 'AlisonBrie']",['ChristianDitter'],"['Comedy', 'Romance']","['newyork', 'basedonnovel', 'one-nightstand', 'single']"
1339,Dolphin Tale,"['MorganFreeman', 'AshleyJudd', 'HarryConnickJr.']",['CharlesMartinSmith'],"['Drama', 'Family']","['dolphin', 'boy', 'trap', 'summer', 'tail']"
1340,Twilight,"['KristenStewart', 'RobertPattinson', 'BillyBurke']",['CatherineHardwicke'],"['Adventure', 'Fantasy', 'Drama', 'Romance']","['soulmates', 'vampire', 'forbiddenlove', 'immortality', 'trust', 'desire', 'duringcreditsstinger', 'womandirector', 'interspeciesromance', 'basedonyoungadultnovel', 'fangvamp']"
1341,John Q,"['DenzelWashington', 'RobertDuvall', 'AnneHeche']",['NickCassavetes'],"['Drama', 'Thriller', 'Crime']","['fathersonrelationship', 'chicago', 'heartattack', 'kidnapping', 'heartdisease', 'hostage-taking', 'hospital']"
1342,Blue Streak,"['MartinLawrence', 'LukeWilson', 'DaveChappelle']",['LesMayfield'],"['Action', 'Comedy', 'Crime']","['robbery', 'diamant', 'policeoperation', 'policeeverydaylife', 'thief', 'policeofficer', 'policestation']"
1343,We're the Millers,"['JasonSudeikis', 'JenniferAniston', 'WillPoulter']",['RawsonMarshallThurber'],"['Comedy', 'Crime']","['mexico', 'police', 'gang', 'drugsmuggling', 'drug', 'family']"
1344,The Inhabited Island,"['VasilyStepanov', 'PyotrFyodorov', 'ЮлияСнигирь']",['FyodorBondarchuk'],"['Action', 'Fantasy', 'ScienceFiction', 'Thriller']","['basedonnovel', 'brothersisterrelationship', 'swordfight', 'spaceship', 'strugatsky', 'brainwashing', 'bigcity', 'girlfriendfromchina', 'hardtokill', 'outerspace', 'testting', 'testing', 'headofstate']"
1345,Breakdown,"['KurtRussell', 'J.T.Walsh', 'KathleenQuinlan']",['JonathanMostow'],"['Drama', 'Action', 'Thriller']","['california', 'bank', 'ransom', 'carbreakdown', 'kidnapping', 'donut', 'highway', 'barn', 'vacation', 'stranded', 'deception', 'murder', 'suspense', 'redneck', 'diner', 'extortion', 'captive', 'carchase', 'desert', 'moving', 'trucker']"
1346,Never Say Never Again,"['SeanConnery', 'KimBasinger', 'KlausMariaBrandauer']",['IrvinKershner'],"['Adventure', 'Action', 'Thriller']","['videogame', 'spy', 'bahamas', 'british', 'stealing', 'scubadiving', 'scuba', 'britishsecretservice']"
1347,Hot Tub Time Machine,"['JohnCusack', 'LizzyCaplan', 'RobCorddry']",['StevePink'],"['ScienceFiction', 'Comedy', 'Adventure']","['femalenudity', 'one-nightstand', 'timetravel', 'timemachine', 'incestovertones', 'hottub', 'peterpansyndrome', 'fortysomething', 'skiing']"
1348,Dolphin Tale 2,"['MorganFreeman', 'AshleyJudd', 'NathanGamble']",['CharlesMartinSmith'],"['Family', 'Drama']","['dolphin', 'aquarium', 'swimming']"
1349,Reindeer Games,"['BenAffleck', 'GarySinise', 'CharlizeTheron']",['JohnFrankenheimer'],['Thriller'],"['prison', 'robbery', 'rolereversal', 'extramaritalaffair']"
1350,A Man Apart,"['VinDiesel', 'LarenzTate', 'TimothyOlyphant']",['F.GaryGray'],"['Action', 'Drama']","['repayment', 'arbitrarylaw', 'cop', 'lossofwife']"
1351,Aloha,"['BradleyCooper', 'EmmaStone', 'RachelMcAdams']",['CameronCrowe'],"['Drama', 'Comedy', 'Romance']","['lovetriangle', 'hawaii', 'satellite', 'military', 'duringcreditsstinger', 'communication']"
1352,Ghosts of Mississippi,"['AlecBaldwin', 'JamesWoods', 'VirginiaMadsen']",['RobReiner'],"['History', 'Drama']","['assassin', 'widow', 'trial', 'civilrights', 'activist']"
1353,Snow Falling on Cedars,"['EthanHawke', 'YoukiKudoh', 'ReeveCarney']",['ScottHicks'],"['Drama', 'Romance']","['journalist', 'japanese', 'wife', 'fisherman', 'war', 'bias', 'trial', 'washingtonstate', 'japaneseamerican']"
1354,The Rite,"['AnthonyHopkins', ""ColinO'Donoghue"", 'AliceBraga']",['MikaelHåfström'],"['Drama', 'Thriller', 'Horror']","['vatican', 'violinist', 'hospital', 'miscarriage', 'exorcist', 'romancatholic', 'seminary', 'limp', 'toad', 'clergy', 'formalin', 'walkingcane']"
1355,Gattaca,"['EthanHawke', 'JudeLaw', 'GoreVidal']",['AndrewNiccol'],"['Thriller', 'ScienceFiction', 'Mystery', 'Romance']","['paraplegic', 'suicideattempt', 'cheating', 'dna', 'spaceman', 'newidentity', 'heartdisease', 'falseidentity', 'bloodsample', 'biotechnology', 'spacemission', 'dystopia', 'investigation', 'genetics', 'hostility', 'exercise', 'eugenics', 'dystopicfuture']"
1356,Isn't She Great,"['BetteMidler', 'NathanLane', 'StockardChanning']",['AndrewBergman'],"['Drama', 'Comedy']","['autism', 'basedonarticle']"
1357,Space Chimps,"['AndySamberg', 'CherylHines', 'JeffDaniels']",['KirkDeMicco'],"['Animation', 'Family']","['spacemarine', 'chimp', 'space', 'aftercreditsstinger']"
1358,Head of State,"['ChrisRock', 'BernieMac', 'DylanBaker']",['ChrisRock'],['Comedy'],"['usa', 'blackpeople', 'usapresident', 'presidentialelection', 'electioncampaign']"
1359,The Hangover,"['BradleyCooper', 'EdHelms', 'ZachGalifianakis']",['ToddPhillips'],['Comedy'],"['underwear', 'tiger', 'stagnight', 'hangover', 'lostweekend', 'bagoverhead', 'chapel', 'hitwithtireiron', 'memoryloss', 'lasvegas', 'duringcreditsstinger', 'elevator']"
1360,Ip Man 3,"['DonnieYen', 'LynnHung', 'ZhangJin']",['WilsonYip'],"['Action', 'Drama', 'History']",['biography']
1361,Austin Powers: The Spy Who Shagged Me,"['MikeMyers', 'HeatherGraham', 'MichaelYork']",['JayRoach'],"['Adventure', 'Comedy', 'Crime', 'ScienceFiction']","['savingtheworld', 'moon', 'submarine', 'clone', 'spy', 'cia', 'showdown', 'android', 'usapresident', 'exoticisland', 'cat', 'lasergun', 'nasa', 'undercover', 'spacemarine', 'carjourney', 'auto', 'timetravel', 'supermodel', 'single', 'aftercreditsstinger', 'duringcreditsstinger']"
1362,Batman,"['JackNicholson', 'MichaelKeaton', 'KimBasinger']",['TimBurton'],"['Fantasy', 'Action']","['doublelife', 'dccomics', 'dualidentity', 'chemical', 'crimefighter', 'fictionalplace', 'gothamcity', 'superhero', 'superpowers']"
1363,Batman,"['AdamWest', 'BurtWard', 'LeeMeriwether']",['LeslieH.Martinson'],"['Fantasy', 'Action']","['doublelife', 'dccomics', 'dualidentity', 'chemical', 'crimefighter', 'fictionalplace', 'gothamcity', 'superhero', 'superpowers']"
1364,Batman,"['JackNicholson', 'MichaelKeaton', 'KimBasinger']",['TimBurton'],"['Family', 'Adventure', 'Comedy', 'ScienceFiction', 'Crime']","['submarine', 'dccomics', 'missile', 'sharkattack', 'rescue', 'shark', 'sharkrepelent', 'blackcat', 'superpowers']"
1365,Batman,"['AdamWest', 'BurtWard', 'LeeMeriwether']",['LeslieH.Martinson'],"['Family', 'Adventure', 'Comedy', 'ScienceFiction', 'Crime']","['submarine', 'dccomics', 'missile', 'sharkattack', 'rescue', 'shark', 'sharkrepelent', 'blackcat', 'superpowers']"
1366,There Be Dragons,"['CharlieCox', 'DougrayScott', 'WesBentley']",['RolandJoffé'],['Drama'],"['spanishcivilwar', 'priest', 'independentfilm', 'catholic', 'dying', 'saint', 'martyrdom']"
1367,Lethal Weapon 3,"['MelGibson', 'DannyGlover', 'JoePesci']",['RichardDonner'],"['Adventure', 'Action', 'Comedy', 'Thriller', 'Crime']","['rookiecop', 'dogbiscuit', 'shootingpractice', 'sittingonatoilet', 'judothrow', 'policepsychologist', 'buddycop', 'firingrange', 'aftercreditsstinger']"
1368,The Blind Side,"['SandraBullock', 'QuintonAaron', 'KathyBates']",['JohnLeeHancock'],['Drama'],"['americanfootball', 'adoption', 'education', 'privateschool', 'sport', 'americanfootballplayer', 'duringcreditsstinger']"
1369,Spy Kids,"['AlexaPenaVega', 'DarylSabara', 'AntonioBanderas']",['RobertRodriguez'],"['Action', 'Comedy', 'Family', 'Adventure']","['doublelife', 'parentskidsrelationship', 'brothersisterrelationship', 'lossofparents', 'secretagent', 'robot']"
1370,Horrible Bosses,"['JenniferAniston', 'JasonBateman', 'CharlieDay']",['SethGordon'],"['Comedy', 'Crime']","['conspiracyofmurder', 'badboss', 'employee', 'deathoffather', 'stakeout', 'duringcreditsstinger']"
1371,True Grit,"['JeffBridges', 'MattDamon', 'JoshBrolin']",['JoelCoen'],"['Drama', 'Adventure', 'Western']","['lossoffather', 'fathermurder', 'texasranger', 'alcoholism', 'betrayal']"
1372,The Devil Wears Prada,"['MerylStreep', 'AnneHathaway', 'EmilyBlunt']",['DavidFrankel'],"['Comedy', 'Drama', 'Romance']","['paris', 'journalist', 'journalism', 'worldoffasion', 'fashionjournal', 'assistant', 'jobentrant', 'jobinterview', 'editor-in-chief']"
1373,Star Trek: The Motion Picture,"['WilliamShatner', 'LeonardNimoy', 'DeForestKelley']",['RobertWise'],"['ScienceFiction', 'Adventure', 'Mystery']","['artificialintelligence', 'ussenterprise', 'starfleet', 'sanfrancisco', 'selfsacrifice', 'spacecraft', 'klingon', 'vulcan', 'spaceopera']"
1374,Identity Thief,"['JasonBateman', 'MelissaMcCarthy', 'JonFavreau']",['SethGordon'],"['Comedy', 'Crime']",[]
1375,Cape Fear,"['RobertDeNiro', 'NickNolte', 'JessicaLange']",['MartinScorsese'],"['Crime', 'Thriller']","['prison', 'childabuse', 'rape', 'smalltown', 'daughter', 'police', 'revenge', 'lawyer', 'cigarsmoking', 'fear', 'dog', 'rapist']"
1376,21,"['JimSturgess', 'KevinSpacey', 'KateBosworth']",['RobertLuketic'],"['Drama', 'Crime']","['gambling', 'cardgame', 'professor', 'harvarduniversity', 'cohabitant', 'college', 'girlfriend', 'studies', 'dormitory', 'friendship', 'blackjack']"
1377,Trainwreck,"['AmySchumer', 'BillHader', 'BrieLarson']",['JuddApatow'],['Comedy'],"['alcohol', 'one-nightstand']"
1378,Guess Who,"['BernieMac', 'AshtonKutcher', 'ZoeSaldana']",['KevinRodneySullivan'],"['Comedy', 'Romance']","['blackpeople', 'jealousy', 'parents-in-law', 'trouble', 'fiancée']"
1379,The English Patient,"['RalphFiennes', 'JulietteBinoche', 'WillemDafoe']",['AnthonyMinghella'],"['Drama', 'Romance', 'War']","['cairo', 'egypt', 'identity', 'amnesia', 'worldwarii', 'burn', 'landmine', 'expedition', 'cave', 'sandstorm', 'royalgeographicsociety', 'cavepainting', 'prisonersofwar', 'map', 'mineclearer', 'hearing', 'desertscientist', 'intelligence', 'traitor', 'muralpainting', 'airplane', 'secretlove']"
1380,L.A. Confidential,"['KevinSpacey', 'GuyPearce', 'DannyDeVito']",['CurtisHanson'],"['Crime', 'Drama', 'Mystery', 'Thriller']","['corruption', 'detective', 'shotgun', 'morgue', 'fword', 'domesticviolence', 'corpse', 'crime', 'districtattorney', 'bandage', 'moviestar', 'manwithglasses', 'knifeinthigh', 'goodcopbadcop', 'switchblade', 'callgirl', '1950s', 'falsifying']"
1381,Sky High,"['MichaelAngarano', 'KurtRussell', 'KellyPreston']",['MikeMitchell'],"['Adventure', 'Comedy', 'Family']","['hero', 'loyalty', 'mockery', 'supernaturalpowers', 'highschool', 'mission', 'superpowers', 'teensuperheroes']"
1382,In & Out,"['KevinKline', 'JoanCusack', 'TomSelleck']",['FrankOz'],"['Comedy', 'Romance']","['gay', 'homophobia', 'comingout', 'lgbt']"
1383,Species,"['NatashaHenstridge', 'BenKingsley', 'MichaelMadsen']",['RogerDonaldson'],"['ScienceFiction', 'Horror', 'Action']","['telepathy', 'dna', 'paranoia', 'genetics', 'instinct', 'femmefatale', 'alien', 'ontherun', 'decapitation', 'sexualattraction', 'losangeles', 'cocoon', 'geneticengineering', 'scientists', 'aliendna']"
1384,A Nightmare on Elm Street,"['JohnSaxon', 'RoneeBlakley', 'HeatherLangenkamp']",['WesCraven'],['Horror'],"['childmurderer', 'sleep', 'nightmare', 'supernatural', 'slasher', 'teenager', 'trapped', 'alcoholic', 'boilerroom', 'boobytrap', 'disfigurement', 'medicaltest', 'dreams']"
1385,The Cell,"['JenniferLopez', ""VincentD'Onofrio"", 'VinceVaughn']",['TarsemSingh'],"['Horror', 'ScienceFiction', 'Thriller']","['drowning', 'therapist', 'virtualreality', 'serialkiller', 'psychopathy', 'fbiagent']"
1386,The Man in the Iron Mask,"['LeonardoDiCaprio', 'JeremyIrons', 'GérardDepardieu']",['RandallWallace'],"['Action', 'Adventure', 'Drama']","['france', 'swordplay', 'mask', 'musketeer']"
1387,Secretariat,"['DianeLane', 'JohnMalkovich', 'ScottGlenn']",['RandallWallace'],['Drama'],"['horserace', 'horsebackriding', 'biography']"
1388,TMNT,"['ChrisEvans', 'SarahMichelleGellar', 'Mako']",['KevinMunroe'],"['Adventure', 'Animation', 'Comedy', 'Family']","['newyork', 'brotherbrotherrelationship', 'journalist', 'martialarts', 'crimefighter', 'secretidentity', 'mutant', 'turtle', 'love', 'basedoncomicbook', 'reunion', 'brotheragainstbrother']"
1389,Radio,"['CubaGoodingJr.', 'EdHarris', 'AlfreWoodard']",['MikeTollin'],['Drama'],"['biography', 'friendship', 'sport']"
